N,READ_TIME_MS,SORT_TIME_MS,STACK_MEM_BYTES
10,0.036000,0.001000,736
50,0.038000,0.006000,3296
100,0.033000,0.020000,6496
500,0.155000,0.423000,32096
1000,0.294000,1.803000,64096
5000,1.541000,47.466000,320096
10000,3.322000,194.042000,640096
30000,9.299000,1750.533000,1920096
50000,16.442000,4861.413000,3200096
80000,23.678000,12375.892000,5120096
100000,34.302000,20071.228000,6400096
