N,READ_TIME_MS,SORT_TIME_MS,STACK_MEM_BYTES
10,0.034000,0.002000,736
50,0.069000,0.021000,3296
100,0.107000,0.070000,6496
500,0.587000,1.453000,32096
1000,0.608000,1.795000,64096
5000,1.627000,46.701000,320096
10000,3.459000,191.045000,640096
30000,9.396000,1706.510000,1920096
50000,16.311000,4836.325000,3200096
80000,24.352000,12857.499000,5120096
100000,31.829000,25166.114000,6400096
